State,Industry_Type,Year,Industrial_Output_Crore,Employment_Lakh,Investment_Crore,Factories_Count,Pollution_Index,Electricity_Consumption_GWh,Export_Crore
Assam,Steel,2025,24357,75.77,21030,519,48.87,13178,3528
Telangana,Mining,2015,46898,7.89,2812,9608,38.31,10953,10125
Uttar Pradesh,Food Processing,2022,14354,89.26,29371,8233,23.55,16894,16911
Telangana,Electronics,2019,15380,59.19,9292,4440,61.42,9036,15370
Maharashtra,Food Processing,2021,22221,31.66,1691,742,22.14,7070,18617
West Bengal,Pharmaceutical,2022,24415,43.56,19590,9140,77.13,5550,8076
Kerala,Mining,2020,19154,64.29,15660,6003,28.29,17929,19851
Goa,Steel,2020,17893,40.21,19725,379,80.99,888,12676
Karnataka,Food Processing,2025,12398,,9207,1052,45.35,15346,3126
Kerala,Mining,2015,22876,17.76,27235,4921,83.8,3082,9534
Punjab,Electronics,2019,14409,,23819,2162,35.17,11054,16428
Bihar,Steel,2023,18717,60.52,21804,4744,72.91,6743,15240
Goa,Steel,2016,18026,62.14,26638,789,81.11,10129,3194
Haryana,Chemical,2023,38401,3.38,3243,9304,23.95,13470,23745
Odisha,Textile,2018,23016,57.98,5028,7298,,12402,16250
Telangana,Food Processing,2025,48626,77.52,23519,5052,62.54,12488,4151
Odisha,Chemical,2020,23130,15.56,9656,1526,14.26,14480,6229
Maharashtra,IT,2017,1820,5.49,11721,5607,75.66,16890,22220
Tamil Nadu,Automobile,2019,41410,81.45,4380,993,83.42,3411,14063
Uttar Pradesh,Automobile,2016,40189,74.07,4325,9809,22.88,14207,10845
Andhra Pradesh,Food Processing,2024,23721,35.4,2249,1162,55.85,108,340
Assam,,2022,39827,82.25,4160,8594,89.26,8438,18028
Assam,Electronics,2017,30433,29.86,14523,2940,23.61,15171,9190
Bihar,Food Processing,2017,49305,18.75,18829,1971,91.26,17396,11887
Bihar,Chemical,2015,32655,73.08,360,1884,75.47,6898,10311
Maharashtra,Mining,2024,21410,84.01,27295,8965,30.64,2945,11945
Rajasthan,Pharmaceutical,2018,26891,96.13,12390,2190,81.27,6249,20036
nan,Chemical,2017,,36.17,18076,3661,77.62,17907,2553
Karnataka ,IT,,30492,48.37,2972,2442,78.76,10120,21252
nan,Food Processing,2024,5555,42.3,5723,1333,61.94,3342,22326
Uttarakhand,Chemical,2024,31813,50.15,2502,6561,92.75,11315,12365
Goa,Automobile,2024,42476,,25176,,83.05,17529,14187
Kerala,Chemical,2018,27801,55.44,9030,4148,13.51,550,16949
Uttar Pradesh,Steel,,16325,78.69,796,1131,71.92,10599,18329
West Bengal ,Automobile,2022,3518,68.53,28622,7412,73,4233,466
Goa,Steel,2021,32356,91.92,6592,4554,,9047,9952
Jharkhand,IT,2016,5684,17.19,24622,7002,94.57,1152,3647
Madhya Pradesh,Chemical,2017,7433,49.09,7449,9991,83.52,795,164
Telangana,Automobile,2017,27484,5.59,5957,3666,87.9,13044,22681
Uttar Pradesh,Pharmaceutical,2022,22286,97.32,29783,2910,68.99,2854,4984
Jharkhand,Textile,2020,21089,57.79,25757,,93.1,14057,10647
Odisha,Electronics,,44980,14.32,9287,6594,77.36,19077,1506
Haryana,Mining,2017,30055,35.97,15981,7885,80.25,12317,13734
Kerala,Steel,2023,3577,57.95,20958,2453,45.9,19878,21459
Haryana,Energy,2021,26409,40.87,10710,3965,33.37,17839,24625
Uttarakhand ,,2022,1083,24.11,28313,6238,27.6,14517,10155
Goa,Electronics,2022,18284,4.06,11410,7176,87.56,3564,22930
Goa,Chemical,2025,22610,50.87,Unknown,1732,13.68,11168,20942
Rajasthan ,Mining,2023,9652,85.23,7138,555,59.09,9535,12824
Madhya Pradesh,Electronics,2016,38146,75.93,5802,5472,35.32,12235,
Maharashtra,Steel,2015,3672,34.13,7282,7947,88.69,310,23844
Rajasthan,Pharmaceutical,2021,38513,1.93,10986,1875,12.6,3693,22637
Maharashtra,Energy,2021,28110,16.96,12926,4674,17.23,11580,14515
Tamil Nadu,Pharmaceutical,2021,7013,71.96,29576,9073,21.2,5552,6318
Telangana,Energy,2018,2485,84.96,14635,6635,37.13,15339,20521
Uttarakhand,Food Processing,2023,24308,10.31,29520,621,86.25,19539,22384
Bihar,Energy,2021,20290,25.97,29806,203,24.47,2270,11048
Telangana,Mining,2025,26679,26.51,27447,965,53.52,7605,24874
nan,IT,2025,20597,82.92,8819,2374,78.39,1797,9435
Uttarakhand,Automobile,2017,12098,56.24,14451,6805,55.51,,13071
Haryana,Pharmaceutical,2020,21277,3.34,7458,6582,12.13,9801,16163
Haryana,Steel,2016,47224,6.22,26201,,52.61,17160,6575
Maharashtra,Food Processing,2019,29372,35.99,1238,5330,44.28,5733,5371
Goa,Automobile,2018,41079,8.1,7781,4188,35.6,6446,21505
Haryana,Automobile,2023,28598,2.75,662,3098,44.53,13919,19233
Haryana,Electronics,2015,49341,48.32,19206,3994,44.19,2197,7828
Bihar,Pharmaceutical,2018,10921,55.99,nan,4850,82.6,9570,21791
Karnataka,Steel,2022,34879,33.82,19293,1477,79.53,1477,11662
Uttarakhand,Textile,2017,6379,66.57,19367,6071,44.32,1892,13741
Chhattisgarh,Electronics,2020,27211,17.49,24749,8368,86.81,13097,294
Haryana,Chemical,2018,39847,35.68,26648,,45.44,1830,14224
Telangana,Mining,2017,38189,36.03,11118,5726,61.29,15556,11907
Gujarat ,Energy,2018,30313,,21267,1467,32.89,19349,19023
Tamil Nadu,,2015,27958,37.76,19236,4307,26.36,18580,14126
Goa,Food Processing,2023,36539,63.66,23263,4966,28.74,16313,14075
West Bengal,Chemical,2023,28832,90.09,587,5844,13.2,12552,17704
West Bengal,Pharmaceutical,2018,20185,82.24,11357,8214,28.83,15962,3082
Telangana,Pharmaceutical,2022,41769,93.98,22877,9606,51.73,3093,7062
West Bengal,Automobile,2021,19906,75.43,Unknown,2408,30.12,15930,16275
Punjab,Textile,2017,9254,71.82,20206,4993,15.54,3454,5737
Punjab,Electronics,2021,,98.07,3214,6931,35.87,1097,21999
Punjab,Automobile,,10427,28.26,1262,696,21.72,10072,18172
Haryana,Food Processing,,10914,53.99,15558,2610,85.92,6499,8093
Chhattisgarh,Steel,2025,2237,95.45,29434,7203,51.51,13546,21325
Gujarat,Mining,2016,21344,34.96,20689,2407,86.15,12661,15208
Bihar,IT,2017,27424,67.57,25444,5327,88.85,15983,19162
Odisha,Pharmaceutical,2023,6546,58.27,16318,7083,50.86,19100,14838
Kerala,Energy,2020,37120,47.35,5388,2977,22.43,15395,24391
Tamil Nadu,,2021,11211,63.49,9891,561,74.15,17343,21978
Jharkhand,Chemical,2017,9153,89.24,6168,3531,87.88,19351,15837
Tamil Nadu,Energy,2016,30169,85.19,3118,4381,21.07,14767,16365
Jharkhand,Chemical,2020,12375,23.02,22612,307,83.68,8318,
Bihar,Electronics,2016,27461,34.39,20081,7906,77.63,5020,19919
Gujarat,Energy,,25418,24.2,17256,7642,72.68,17589,141
Gujarat,Chemical,2015,49452,65.3,7530,4710,81.9,4214,11761
Chhattisgarh,Steel,2024,19663,22.68,19247,6765,25.27,16754,603
Madhya Pradesh,Mining,2019,12651,56.2,13209,5097,50.94,3097,12041
Chhattisgarh,Automobile,2024,21464,22.73,16344,2499,16.06,353,6972
Andhra Pradesh,Mining,2022,42972,76.98,10829,2203,38.13,18673,18409
Gujarat,Food Processing,2019,14762,73.91,21884,2311,54.82,641,22347
Uttar Pradesh,Textile,2020,27036,4.13,12725,5383,68.35,14764,9915
Karnataka,Food Processing,2022,17392,76.95,13851,9111,48.1,16810,16522
Chhattisgarh,Chemical,2021,29126,70.63,27469,4889,70.51,17545,11951
Goa,Mining,2017,35988,16.07,9547,7462,12.82,4396,15498
Andhra Pradesh,Mining,2021,22636,2.89,28649,5082,44.67,1377,7930
Haryana,Mining,2024,3784,8.97,16145,2677,71.52,3261,1265
Karnataka,Mining,2019,3746,68.04,7616,2165,20.25,13249,16884
Karnataka,IT,2019,16401,30.81,11630,2521,93.4,14041,18247
Tamil Nadu,Electronics,2018,35955,19.18,16817,8834,65.69,10174,4049
West Bengal,Electronics,2016,19195,,11084,5867,27.24,12664,1669
Kerala,Steel,2020,12210,48.07,24393,2060,79.89,17888,15696
Madhya Pradesh,Food Processing,2019,14353,82.91,9696,2598,82.19,1932,1102
Uttar Pradesh,Pharmaceutical,2017,6637,19.89,143,9343,18.65,18416,
Punjab,Electronics,,47508,49.81,23182,4243,38.02,14704,13761
Uttar Pradesh,Pharmaceutical,2024,47747,82.28,29604,9327,32.73,8268,191
Tamil Nadu,Food Processing,2018,40740,63.64,21554,5223,58.02,18576,16250
Bihar,Steel,2016,45340,31.68,19976,1269,83.36,,8868
Odisha,IT,2023,7768,13.46,9613,2880,83.72,3189,4840
Odisha,,2017,48302,50.36,8047,1906,76.93,13692,16066
Jharkhand,Food Processing,2024,19336,,16679,9573,10.94,1104,23413
Bihar,Mining,2025,41605,9.95,23884,3847,37.65,9145,5986
Madhya Pradesh,Pharmaceutical,2025,41499,53.63,3862,4210,51.91,869,7139
Chhattisgarh,IT,,11098,64.2,4260,9222,59.73,1108,20975
Odisha,Energy,2021,22015,5.48,21926,8745,72.1,9862,7778
Uttar Pradesh,Mining,2019,23186,53.72,22888,4881,29.68,7985,3063
Bihar,Pharmaceutical,2023,33389,67.76,12501,3149,50.34,9998,
Andhra Pradesh,IT,2017,23069,27.47,24656,7269,93.51,1144,16602
Jharkhand ,Food Processing,2021,27231,31.93,4904,4859,59.01,13308,9179
Andhra Pradesh,IT,2015,34697,68.94,20996,8648,31.98,18521,12659
Uttarakhand,Energy,2023,40100,14.19,6218,7255,88.39,4867,2650
Uttarakhand,Textile,2017,47314,18.65,11755,9142,30.11,10017,9334
Chhattisgarh,Electronics,2025,47420,7.63,23529,4290,29.65,9814,19617
Assam,Steel,2023,10610,48.09,14994,1251,51.93,6037,15852
Rajasthan,IT,2015,41146,89.24,16379,6614,90.75,,22018
Assam,Mining,2021,7691,78.28,16811,827,85.74,7352,20227
Jharkhand,Chemical,2023,8271,91.99,11308,2207,19.61,16490,8577
Madhya Pradesh,Electronics,2016,5096,27.92,22496,7676,75.24,11210,19089
Haryana ,Steel,2019,31865,32.13,22085,5089,17.75,4921,1864
Tamil Nadu,Textile,2020,5340,21.11,776,2109,78.23,19021,1798
Madhya Pradesh,Energy,2018,27719,92.22,26804,9885,11.2,15832,13818
Telangana,Mining,2018,22253,24.4,11164,1054,91.97,3658,18536
nan,Steel,2024,19608,89.11,6045,9862,89.26,5950,14720
Uttarakhand,Energy,2023,,87.96,18967,3599,37.92,16540,9477
Karnataka,Textile,2015,5785,17.18,26979,6666,73.12,18946,13506
Rajasthan,Mining,2020,32654,67.49,26569,7902,24.41,8319,20338
Gujarat,Food Processing,2025,7508,21.14,26608,7770,92.8,3615,12440
Andhra Pradesh,Energy,2022,38907,74.56,907,1898,92.3,6342,11156
West Bengal,Steel,2017,21168,26.22,25817,8254,38.72,16428,1924
nan,Mining,2018,13141,37.48,26700,6995,31.9,3741,20924
Madhya Pradesh,Steel,2019,13414,92.67,677,4005,25.33,6084,
Chhattisgarh,Electronics,2016,10958,22.14,12961,1002,46.23,13251,18936
Andhra Pradesh,Food Processing,2022,34061,67.22,640,7138,30.31,7520,11343
Maharashtra,Automobile,2016,4778,25.75,9255,8272,86.05,19085,20642
Andhra Pradesh,IT,2018,19737,36.51,2355,4158,65.06,252,5929
nan,Mining,,40388,39.04,18361,8625,42.36,11657,7044
Tamil Nadu,Steel,2017,15261,78.06,18511,5197,73.23,7613,24470
Gujarat,Pharmaceutical,2019,7222,7.34,11150,3808,80.57,6701,4606
Uttarakhand,Steel,2019,27569,13.62,6084,1522,29.37,7968,16439
Karnataka,Energy,,20779,1.24,29316,5302,22.31,17586,1236
Kerala,Textile,2019,10444,39.13,17693,9280,74.05,16577,19917
nan,Food Processing,2025,47488,31.38,2731,65,67.77,13904,14663
Uttarakhand,Steel,2022,6104,96.98,15554,5611,71.61,15063,9670
Madhya Pradesh,Textile,2023,46671,87.67,573,2339,29.05,308,24782
Karnataka,Automobile,2016,29591,95.53,Unknown,7193,90.79,3575,7478
Uttarakhand,Chemical,2021,8186,87.08,3719,4468,79.35,15185,768
Chhattisgarh,Steel,2020,42314,47.77,25702,715,34.36,11392,4183
Tamil Nadu,IT,2022,10481,87.28,16355,5081,,17342,12714
Goa,IT,2015,4472,88.45,14285,9887,84.04,17208,5460
Bihar,Pharmaceutical,2023,30532,82.71,21914,4189,78.51,12237,8236
Uttarakhand,IT,2019,46513,90.07,2759,8193,44.88,17265,6747
Tamil Nadu,Pharmaceutical,2019,38000,19.5,29834,4295,77.32,15337,5392
Gujarat,IT,2016,21483,17.07,16705,2951,55.28,860,14212
Haryana,Food Processing,2016,8146,1.79,13911,,49.56,6676,8594
Kerala,Mining,2021,30695,73.63,2975,4174,72.76,19397,13249
Tamil Nadu,IT,2025,2144,57.19,4382,1118,18.53,1892,5444
West Bengal,Food Processing,2023,3168,74.7,26381,710,86.38,16376,14905
West Bengal,Energy,2017,41811,62.6,4284,8257,40.76,13213,7170
Odisha,Food Processing,2022,658,3.78,16666,663,74.22,12494,16754
Chhattisgarh,IT,2015,43399,40.12,22843,4634,,,11009
Andhra Pradesh,Pharmaceutical,2017,34641,76.58,16212,2033,90.24,16165,24562
Telangana,Automobile,2018,44026,84.53,11226,2264,26.38,10265,12878
Goa,Automobile,2021,9495,71.75,27625,8550,56.64,8249,22815
Haryana,Pharmaceutical,2023,5977,96.55,18639,5463,31.36,13802,5055
Karnataka,,2025,7530,3.64,26742,9875,12.91,13132,23917
Assam,Automobile,2015,4651,49.38,13098,8198,14.83,,16431
Assam,IT,2017,16499,27.33,26777,5134,93.76,5220,16679
Assam,Automobile,2019,,63.81,11176,4612,21.48,11960,6013
Odisha,Energy,2018,30760,92.9,1223,9659,55.27,13638,18790
Karnataka,Steel,,32639,96.05,20145,6020,26.04,6461,16631
Telangana,Chemical,2022,26005,19.53,19842,9207,86.48,11555,24904
Rajasthan,,2025,48910,12.81,794,705,88.71,19970,23329
Jharkhand,Electronics,2024,48560,36.47,2045,5849,16.21,5352,1978
Madhya Pradesh,Energy,2020,38475,18.37,9963,5618,41.56,19434,14834
nan,Electronics,2017,22684,39.54,17799,1418,14.16,9994,6237
Bihar,Electronics,2023,26348,13.64,7390,3905,45.7,1633,7839
Karnataka,Chemical,2018,36952,99.24,18115,1822,20.85,14054,23787
Karnataka,,2017,31469,36.33,7630,4865,15.61,5220,3001
Andhra Pradesh,Energy,2022,18670,80.51,20773,63,66.59,14247,9283
Madhya Pradesh,Food Processing,2016,540,28.97,14067,5012,48.81,17047,8096
Madhya Pradesh,Automobile,2022,26139,33.06,7246,3051,77.22,9543,4568
Goa,Steel,2015,22216,62.26,6972,3397,28.93,17589,13196
Karnataka,Automobile,2023,9827,76.29,10623,2900,52.47,14693,17918
Gujarat,Chemical,2025,18120,45.13,22811,5050,61.5,3234,10863
Uttarakhand ,Food Processing,2021,41644,,5950,7767,87.47,11897,16560
Jharkhand,Pharmaceutical,2017,44789,90.23,26947,1212,46.66,,2754
Maharashtra,IT,2020,24589,45.84,18132,2281,66.78,13799,7273
Uttarakhand,IT,2015,16888,30.57,Unknown,,76.47,18673,24547
Maharashtra,Food Processing,2017,18624,52.96,27828,7349,15,9518,21752
Karnataka,Steel,2023,32805,63.38,21239,1718,35.61,14979,23662
Karnataka,Steel,2019,15482,44.39,4948,7273,,3256,1399
West Bengal,Automobile,2015,24876,9.41,17271,4180,45.64,5616,5574
Bihar,Energy,2017,14278,92.15,14005,240,80.53,17920,15744
Chhattisgarh,Food Processing,2018,43962,77,16922,7544,32.21,2574,4768
Punjab,IT,2016,38860,24.54,15843,3497,34.92,5344,3767
Madhya Pradesh,Textile,2016,6900,64.62,5716,3464,54.29,11312,6881
Rajasthan ,Steel,2022,38324,61.88,23545,9449,37.57,8613,8867
Jharkhand,Food Processing,,4505,28.07,22789,,14.1,480,16027
Andhra Pradesh,IT,2015,4608,68.14,15379,6292,71.06,18525,19517
Andhra Pradesh,Mining,2016,35956,6.14,17473,4396,16.5,19817,5100
Chhattisgarh,Mining,2020,23115,47.83,18969,7740,,11929,16606
Assam,Textile,2016,1077,86.87,27545,5684,86.32,13467,3029
Karnataka,Steel,2015,20951,18.84,16193,5154,83.32,18575,15675
Odisha,Textile,2022,40585,76.55,10913,3223,29.38,19759,2727
Uttar Pradesh,Electronics,2023,23894,89.86,13813,2083,12.06,3423,14095
Rajasthan,Food Processing,2016,45710,35.44,7367,,,7048,1531
Telangana,Mining,2017,8602,41.25,Unknown,6960,42.75,1613,12135
Uttarakhand,Electronics,2024,1661,83.43,29935,2372,68.5,3119,4717
Punjab,Electronics,2021,5257,83.26,23330,4314,38.53,17285,10122
Bihar ,Food Processing,2024,45975,44.26,16428,8720,41.66,18478,24552
Andhra Pradesh ,Chemical,2015,47017,8.54,28377,1467,17.84,19986,20791
Assam,Textile,2019,29257,18.97,9679,9849,82.19,4534,24014
nan ,Textile,2015,8230,48.55,2508,764,58.7,5355,7166
Karnataka,Textile,2019,4874,7.55,10905,9387,87.35,14314,2476
Haryana,Electronics,,1188,35.55,nan,5834,38.85,14193,24119
Odisha,Mining,2021,25121,95.58,26324,6784,69.54,,18802
Goa,Textile,2023,28390,39.41,5181,8533,53.49,8314,14732
Goa,Textile,2021,30132,22.35,26671,6460,60.02,1568,6516
Rajasthan ,Steel,2023,16307,89.34,18629,3829,82.82,5337,6763
Andhra Pradesh,Pharmaceutical,2021,21787,41.34,6544,3033,55.4,4242,9957
Uttarakhand,IT,2017,21133,19.55,4253,,64.4,11210,16166
Haryana,Chemical,2020,26425,42.83,20121,2158,85.43,7890,23490
Goa,IT,2024,12914,27.15,25600,8015,31.67,7046,20881
Karnataka,Automobile,2019,15664,60.95,26840,5973,88.93,16133,17426
Rajasthan,Pharmaceutical,,40359,72.49,13843,5016,23.63,17891,6061
Kerala,Pharmaceutical,2020,12867,5.12,9761,5074,30.46,19316,7106
Telangana,Electronics,2015,49738,48.7,27865,8677,31.7,19315,9547
Madhya Pradesh,Energy,2016,32767,55.51,27783,8862,75.83,2187,18253
Kerala,Mining,2021,30911,38.86,16186,1328,51.72,4909,19212
Bihar,Energy,2017,35697,17.41,11394,2525,69.88,10623,11292
Andhra Pradesh,Food Processing,2017,18063,72.26,6710,9791,75.77,4044,16324
Chhattisgarh,Food Processing,2023,17955,74.86,18031,6052,84.33,19910,20742
nan,Textile,2024,34581,54.53,26505,910,24.82,12624,10200
Rajasthan,Pharmaceutical,,13118,58.4,2786,4335,92.59,7809,10652
Karnataka,IT,2025,33317,4.23,423,938,55.29,19181,12997
Bihar,Chemical,2023,44206,9.45,19752,7599,58.04,18220,2170
Karnataka,Steel,2020,49906,33.82,8930,3026,17.48,11957,17554
Jharkhand,Automobile,2022,7606,47.59,24016,1274,34.64,1529,13394
Karnataka,Chemical,2019,19371,92.41,7432,6230,36.27,896,17580
Chhattisgarh,Textile,2015,29231,83.83,9349,7133,12.59,13975,24987
Karnataka,Mining,2017,40706,24.79,1724,1407,26.62,16021,20568
Chhattisgarh,Steel,2021,13782,13.19,15883,7536,36.69,579,8179
Uttarakhand,Food Processing,2017,9689,22.13,12733,8267,48.36,17652,8227
West Bengal,Textile,2022,10555,72.35,23342,3399,91.65,16178,15977
Maharashtra,Energy,2024,3733,6.51,29648,6786,80.54,4397,87
Maharashtra ,Pharmaceutical,2023,41592,99.3,20046,2793,,981,2553
Bihar ,Steel,,13750,46.77,27673,8566,51.14,12156,11701
Maharashtra,Pharmaceutical,2023,22872,36.56,13624,4605,82.56,6104,2399
Goa,IT,2025,29813,32.93,1554,1742,54.61,6742,2161
Karnataka,Chemical,,35478,76.5,2544,4983,42.92,15970,18451
Punjab,Mining,2015,34106,83.07,23842,4299,92,8880,6723
West Bengal,Steel,,37894,72.81,1173,4385,50.98,13607,17394
Gujarat,Energy,2021,36473,66.85,24582,8381,46.1,3633,16548
Kerala,Pharmaceutical,2019,,11.57,Unknown,9753,19.28,11744,5816
Jharkhand,Food Processing,2021,37495,32.87,2159,9694,28.34,17208,24620
Andhra Pradesh,IT,2022,38865,43.54,13762,4110,48.42,,4172
Uttar Pradesh,Automobile,2023,2632,,28704,1668,86.92,18469,22087
Kerala,Electronics,2022,4792,50.15,3101,1610,60.05,15830,15150
Andhra Pradesh ,Energy,2020,6109,19.05,505,9483,89.77,13025,14295
Chhattisgarh,Textile,2019,32673,25.42,6790,827,84.93,4085,19727
Bihar,Energy,2015,40289,44.41,23612,4639,38.3,,9448
Bihar,Energy,2025,38708,72.03,11829,943,72.68,12495,4279
Uttarakhand,Chemical,2019,7180,27.72,1747,2126,46.22,7629,20895
Odisha,,2019,5116,65.06,19529,,70.16,9586,15923
Andhra Pradesh,Steel,2016,37000,20.31,8912,7274,47.09,16416,16480
Uttar Pradesh,IT,2019,8077,89.98,22158,5349,70.77,9862,22008
Telangana,Mining,2025,18531,33.09,1615,5749,41.35,1328,10931
Karnataka,Mining,2020,24708,21.77,21326,512,62.11,19522,22400
Jharkhand,Pharmaceutical,2020,17040,55.85,19825,2926,44.45,2054,1072
Chhattisgarh,Energy,2023,32573,14.18,23071,1330,39.38,16241,21390
Punjab,Steel,2018,6059,72.58,2776,8301,,4584,613
Karnataka,IT,2015,32784,86.84,16736,5693,49.32,429,7744
Odisha,Steel,2016,14106,1.74,26038,9545,35.58,1033,7440
Telangana,Steel,2019,31673,11.42,nan,3348,30.71,7322,16722
Assam,IT,2018,24650,69.31,nan,2879,,8576,6642
Jharkhand,,2023,33907,79.07,9786,337,49.58,9252,14345
nan,Textile,2023,,17.76,1359,8633,67.55,8452,6021
Rajasthan,Steel,2022,3546,77.13,3874,5383,11.06,9639,4128
West Bengal,Food Processing,2023,17073,51.13,19005,2977,31.2,,344
Madhya Pradesh,Pharmaceutical,2022,20368,91.49,17350,7771,43.48,,24584
Odisha,Mining,2024,27856,48.23,14311,9723,13.41,2596,2804
Maharashtra,Food Processing,2021,15109,33.34,8277,1648,50.14,7378,6397
Rajasthan,Food Processing,2016,36307,86.51,2237,8710,42.31,6953,3677
Odisha,Automobile,2023,14220,45.75,18032,5680,,611,17243
Telangana,Chemical,2023,16860,28.57,3300,5251,15.18,18212,19508
Gujarat,Electronics,2022,13014,59.9,21593,2342,14.9,16984,1168
Andhra Pradesh,IT,2021,14606,25.67,28926,,90.36,6629,2804
Kerala,Electronics,2018,23716,96.57,21524,3018,23.04,15298,4815
Haryana,Steel,2022,,42.21,4018,8703,69.01,14154,12932
Uttar Pradesh,Chemical,2015,45354,79.3,20982,2994,53.51,9234,23032
Maharashtra,Electronics,2017,39765,18.1,25915,3315,73.98,15793,16973
Andhra Pradesh,Food Processing,2017,37310,28.73,21235,6578,46.04,4820,10912
Uttarakhand,Pharmaceutical,2015,44637,38.57,3249,9581,78.22,19984,8847
Haryana,Mining,2017,10045,22.6,22293,7039,53.84,9438,10281
Haryana,Textile,2017,31472,77.39,11615,1634,81.24,14572,10388
Maharashtra,Steel,2022,9306,71.51,27297,6684,73.35,8288,2228
Odisha,Textile,2018,16542,53.43,23131,6144,33.53,18678,792
Punjab,Electronics,2023,12074,37.2,8055,5269,50.36,9991,2588
Kerala,Mining,2020,13761,37.95,10316,9193,46.78,10482,17337
Haryana,Steel,2016,807,12.11,5744,2463,81.53,18561,18152
Uttar Pradesh,Electronics,2019,7388,70.5,3162,7397,17.41,1684,17591
Goa,Chemical,2024,47766,56.26,27611,7060,67.5,17974,20664
Bihar,Electronics,2022,8787,19.81,14225,5798,57.48,3895,21540
Uttarakhand,Textile,2017,16599,54.08,21262,9698,41.84,8305,8978
Odisha,Textile,2018,30628,32.75,10653,7601,74.9,16154,
Karnataka,Pharmaceutical,2017,5285,17.9,28458,7683,,12118,18157
Madhya Pradesh,Food Processing,2021,1403,37.01,nan,4920,37,3174,10222
Gujarat,Pharmaceutical,2016,2561,62.14,20197,5192,,12041,6912
Haryana ,Energy,2025,26092,,21966,4152,15.4,12297,19467
Andhra Pradesh,Steel,2015,6186,79.86,18598,5626,68.19,2894,4922
Telangana,Electronics,2016,31980,60.9,23825,551,50.51,10234,9513
Uttar Pradesh,Textile,2024,12017,50.34,12682,7504,64.28,18427,13625
Telangana,Chemical,2023,29114,46.35,28870,5697,78.37,19998,11325
Maharashtra,Chemical,2020,1929,87.19,28746,1568,25.52,12303,2402
Gujarat,Electronics,2015,29280,82.05,17271,,83.34,19612,12500
nan,Pharmaceutical,2015,1689,70.88,838,4846,78.36,8843,18780
Chhattisgarh,Textile,2015,35433,23.2,11576,8058,10.07,4908,24672
Uttarakhand,Energy,2016,979,75.34,29190,2832,87.79,10993,21389
Bihar,Textile,2016,21512,67.53,14266,8867,,6658,3427
Karnataka,Chemical,2020,33003,2.82,28434,4078,11.94,9482,3181
Andhra Pradesh,Steel,2020,30097,74.07,nan,6420,53.06,13261,2300
Rajasthan,Pharmaceutical,2016,16794,21.51,17270,7713,29.86,16686,9737
Tamil Nadu,IT,2020,42731,15.29,18936,1210,21.55,14077,6872
Bihar,Textile,2021,21687,82.72,9910,4662,69.91,419,22367
Odisha,Chemical,2025,36162,54.66,15751,370,32.35,15085,18024
Uttarakhand,Electronics,2025,27528,74.92,14458,4299,63.31,12372,796
Rajasthan,Food Processing,2016,6344,49.96,28510,4062,38.33,4235,8567
Maharashtra,Electronics,2025,41613,69.3,489,7955,94.76,6314,20351
Punjab,Food Processing,,42675,61.55,5844,7779,14.18,16398,13798
Assam,Textile,2017,26959,,989,699,80.5,3136,
Telangana,Textile,2017,36678,56.99,9404,5537,18.8,19007,7140
Maharashtra,IT,2015,13052,20.7,125,4313,77.46,3522,9245
Uttarakhand,Chemical,2021,18393,54.76,11435,7066,49.08,18472,15801
Andhra Pradesh,Textile,2024,,57.23,26854,8024,24.65,2254,5888
Andhra Pradesh,Steel,2023,35370,66.06,8359,7268,86.82,11369,18315
Goa ,Automobile,2023,48216,65.35,21711,8153,68.2,9302,15358
Tamil Nadu,Energy,2024,35635,71.59,20068,5047,28.03,2494,6306
Chhattisgarh ,,2025,16310,25.51,11690,6880,84.47,8646,3086
Bihar,Chemical,2021,16487,75.56,16195,8654,18.4,4207,15774
Bihar,Energy,2024,22954,27.51,5422,4663,65,11439,14969
Telangana,Mining,2017,11499,47.57,26754,6273,83.89,4762,2034
Bihar ,Textile,,30269,86.44,11436,9214,33.55,677,3119
West Bengal,Pharmaceutical,2017,8688,80.38,997,5873,54.18,18237,24119
Kerala,Chemical,2019,7126,30.24,4549,5944,79.24,4087,6385
Bihar,Chemical,2021,13718,86.15,2557,7102,77.82,9304,19025
Karnataka,Textile,2018,,23.32,26840,8820,,7558,12999
Rajasthan,Textile,2018,47446,94.57,17594,,18.56,6776,17040
Uttarakhand,Energy,2015,1994,94.4,29158,6897,94.99,5441,13445
Uttarakhand,Pharmaceutical,2018,39742,60.09,27301,1395,71.52,6400,13587
Madhya Pradesh,Automobile,2023,9729,,19375,8607,30.88,9449,2036
Haryana,Textile,2017,20076,21.35,1375,9774,61.16,10049,7347
Andhra Pradesh,Chemical,2025,48332,62.37,10360,3510,35.59,5223,12712
Rajasthan,Steel,2020,32370,8.41,29370,7385,14.46,19722,19925
Odisha,IT,2015,47147,59.26,nan,1490,52.81,712,3682
Odisha,Textile,,41512,74.04,2419,1069,85.91,10615,22561
Assam,IT,2025,42489,41.9,27800,7929,91.75,9286,10668
Kerala,Energy,2021,25019,25.16,28580,6835,59.8,,9594
Jharkhand,Electronics,2015,47920,85.7,5764,7595,26.33,16763,23565
Andhra Pradesh,Mining,2023,46798,54.32,16845,6797,91.07,18531,15916
Madhya Pradesh,Automobile,2018,35643,61.24,15720,192,68.94,,15586
nan,Textile,2021,49336,15.22,19033,8976,87.29,1465,17767
